'strain','stress'
0.00473,0.27531
0.0057,1.78154
0.00574,2.00428
0.00577,2.40959
0.00511,2.65842
0.00577,2.12191
0.00488,3.50112
0.00514,1.51916
0.00539,2.6206
0.00574,3.11746
0.00492,1.35145
0.00488,1.39397
0.00546,2.38612
0.00582,2.38664
0.00586,0.49623
0.00582,2.8123
0.00508,2.06271
0.00482,3.34306
0.0057,3.20014
0.00539,2.35117
0.00575,1.86214
0.00618,3.5885
0.00588,1.78937
0.0056,2.03845
0.00578,3.52877
0.00593,2.69676
0.00594,3.95442
0.00552,1.90752
0.00598,3.25047
0.00582,2.96357
0.00607,3.07651
0.00633,2.92419
0.00577,3.56241
0.00574,2.72962
0.00547,1.20357
0.00554,2.91271
0.00521,2.60364
0.0054,2.20981
0.00624,2.992
0.0058,1.71999
0.00552,2.05958
0.00592,0.99439
0.00621,2.26119
0.00568,2.19364
0.00571,1.68791
0.00543,2.65998
0.00484,0.49519
0.00592,2.4615
0.00514,2.38221
0.006,1.78285
0.0061,2.66781
0.00558,2.09348
0.00598,1.93569
0.00545,2.64537
0.0054,2.25258
0.00584,3.18266
0.00578,2.95392
0.0061,2.82038
0.00562,3.53633
0.00548,1.46439
0.00527,2.18633
0.00568,2.87229
0.00561,3.89548
0.00592,3.53503
0.00547,3.23509
0.00602,2.43881
0.00619,3.03399
0.00562,3.12789
0.00562,2.36578
0.00628,3.26769
0.00555,3.53112
0.00571,2.45889
0.00616,2.81934
0.00548,3.08877
0.00552,2.13052
0.00562,1.76094
0.00546,1.80215
0.0054,1.54394
0.00595,2.74631
0.00545,2.29118
0.00552,3.70221
0.00593,2.07444
0.00545,1.23748
0.00549,1.33737
0.00569,2.72127
0.00568,3.47634
0.00599,1.36945
0.00618,3.03113
0.0058,1.56559
0.00551,1.52542
0.00567,2.69728
0.00562,2.40125
0.00563,1.04838
0.00532,3.35454
0.00503,2.34961
0.00539,2.6086
0.00558,2.6013
0.00548,1.00091
0.00566,1.71034
0.00525,4.35191
0.0055,1.47978
0.00568,3.00296
0.00543,1.79484
0.0053,2.64746
0.00583,2.22311
0.00604,3.74603
0.00543,2.49306
0.00614,2.40881
0.00593,2.61642
0.00617,2.44976
0.00582,2.26484
0.00616,3.52929
0.00588,2.93906
0.006,1.89839
0.00594,3.33811
0.00573,3.1125
0.00557,3.1897
0.00537,3.39523
0.00622,1.35667
0.00552,2.78752
0.00604,3.85192
0.00539,1.60914
0.00565,4.00633
0.00627,3.36915
0.00601,1.70851
0.006,2.58878
0.0061,2.37021
0.00618,2.23719
0.00626,1.94403
0.00611,1.40101
0.00581,2.16338
0.00608,1.44691
0.00622,3.62162
0.00595,3.12215
0.00592,3.21448
0.00607,2.62347
0.00578,2.40229
0.00599,1.48056
0.00572,2.52592
0.0054,2.77813
0.00585,3.22257
0.00592,1.8684
0.00612,1.93256
0.00623,2.50271
0.00621,2.13365
0.00621,1.81128
0.00624,1.12011
0.00621,2.7737
0.00615,2.53114
0.0061,2.44637
0.00647,2.47845
0.00664,1.22209
0.00646,2.58852
0.00668,2.05958
0.00711,2.46593
0.00679,2.63259
0.00673,2.47636
0.00712,3.39888
0.0068,2.46306
0.00693,2.36734
